%time,field.data
1547890527793377112,37.083984375
1547890527795095558,37.083984375
1547890527796643708,37.083984375
1547890527799431643,37.083984375
1547890527803245040,37.083984375
1547890527805371310,37.083984375
1547890527808453176,37.083984375
1547890527811793662,37.083984375
1547890527813937495,37.083984375
1547890527817271765,37.083984375
1547890527820061442,37.083984375
1547890527821807135,37.083984375
1547890527825010172,37.083984375
1547890527828121082,37.083984375
1547890527829970533,37.083984375
1547890527833315129,37.083984375
1547890527836466357,37.083984375
1547890527838396024,37.083984375
1547890527840612572,37.083984375
1547890527844781078,37.083984375
1547890527846780357,37.083984375
1547890527848939178,37.083984375
1547890527852863439,37.083984375
1547890527854647616,37.083984375
1547890527857111554,37.083984375
1547890527861029733,37.083984375
1547890527862920357,37.083984375
1547890527865179266,37.083984375
1547890527869262253,37.083984375
1547890527871003820,37.083984375
1547890527873616762,37.083984375
1547890527877335299,37.083984375
1547890527879193044,37.083984375
1547890527881619249,37.083984375
1547890527885577758,37.083984375
1547890527887385929,37.083984375
1547890527889797296,37.083984375
1547890527893662932,37.083984375
1547890527895555273,37.083984375
1547890527898189071,37.083984375
1547890527902017195,37.083984375
1547890527904097957,37.083984375
1547890527905816946,37.083984375
1547890527910149602,37.083984375
1547890527911983032,37.083984375
1547890527914294571,37.083984375
1547890527918336250,37.083984375
1547890527920302564,37.083984375
1547890527922463339,37.083984375
1547890527926474031,37.083984375
1547890527928699108,37.083984375
1547890527930759451,37.083984375
1547890527934741998,37.083984375
1547890527936531257,37.083984375
1547890527938830383,37.083984375
1547890527942815247,37.083984375
1547890527944547221,37.083984375
1547890527947288765,37.083984375
1547890527951157836,37.083984375
1547890527952905535,37.083984375
1547890527955372326,37.083984375
1547890527959344068,37.083984375
1547890527961185820,37.083984375
1547890527963439346,37.083984375
1547890527967498043,37.083984375
1547890527969287862,37.083984375
1547890527971724337,37.083984375
1547890527975682375,37.083984375
1547890527977443831,37.083984375
1547890527979766571,37.083984375
1547890527983923624,37.083984375
1547890527985922152,37.083984375
1547890527988065118,37.083984375
1547890527992067291,37.083984375
1547890527994376574,37.083984375
1547890527996411653,37.083984375
1547890528000102908,37.083984375
1547890528002509669,37.083984375
1547890528004350660,37.083984375
1547890528008383369,37.083984375
1547890528010362372,37.083984375
1547890528012647714,37.083984375
1547890528016530785,37.083984375
1547890528018447290,37.083984375
1547890528020826448,37.083984375
1547890528024810313,-4.15258789062
1547890528026768168,-4.15258789062
1547890528028959830,-4.15258789062
1547890528032828146,-4.15258789062
1547890528034682997,-4.15258789062
1547890528037214788,-4.15258789062
1547890528041163492,-4.15258789062
1547890528042974607,-4.15258789062
1547890528045369528,-4.15258789062
1547890528049467043,-4.15258789062
1547890528051101139,-4.15258789062
1547890528053559733,-4.15258789062
1547890528057788313,-4.15258789062
1547890528059735971,-4.15258789062
1547890528061796154,-4.15258789062
1547890528065563127,-4.15258789062
1547890528067499412,-4.15258789062
1547890528069918994,-4.15258789062
1547890528074053485,-4.15258789062
1547890528075856597,-4.15258789062
1547890528078202111,-4.15258789062
1547890528082147418,-4.15258789062
1547890528084117680,-4.15258789062
1547890528086671043,-4.15258789062
1547890528090371953,-4.15258789062
1547890528092073371,-4.15258789062
1547890528094462007,-4.15258789062
1547890528098563376,-4.15258789062
1547890528100365897,-4.15258789062
1547890528102509445,-4.15258789062
1547890528106689789,-4.15258789062
1547890528108548017,-4.15258789062
1547890528110477467,-4.15258789062
1547890528114893511,-4.15258789062
1547890528117336088,-4.15258789062
1547890528119469364,-4.15258789062
1547890528123028013,-4.15258789062
1547890528124900013,-4.15258789062
1547890528127103479,-4.15258789062
1547890528131222055,-4.15258789062
1547890528133067056,-4.15258789062
1547890528135313769,-4.15258789062
1547890528139575182,-4.15258789062
1547890528141726150,-4.15258789062
1547890528143659591,-4.15258789062
1547890528145581370,-4.15258789062
1547890528148569155,-4.15258789062
1547890528151841712,-4.15258789062
1547890528153686283,-4.15258789062
1547890528156804932,-4.15258789062
1547890528160065398,-4.15258789062
1547890528161920597,-4.15258789062
1547890528165123883,-4.15258789062
1547890528168184959,-4.15258789062
1547890528170080478,-4.15258789062
1547890528173634119,-4.15258789062
1547890528176358063,-4.15258789062
1547890528178287988,-4.15258789062
1547890528181443116,-4.15258789062
1547890528184563253,-4.15258789062
1547890528186487717,-4.15258789062
1547890528188687234,-4.15258789062
1547890528192642669,-4.15258789062
1547890528195033005,-4.15258789062
1547890528196897522,-4.15258789062
1547890528201016948,-4.15258789062
1547890528203003742,-4.15258789062
1547890528205360871,-4.15258789062
1547890528209048447,-4.15258789062
1547890528210830959,-4.15258789062
1547890528213401353,-4.15258789062
1547890528217294804,-4.15258789062
1547890528219028862,-4.15258789062
1547890528221854984,-4.15258789062
1547890528225701621,-4.15258789062
1547890528228128213,-4.15258789062
1547890528230606267,-4.15258789062
1547890528233735131,-4.15258789062
1547890528235610619,-4.15258789062
1547890528237864419,-4.15258789062
1547890528241575300,-4.15258789062
1547890528243151668,-4.15258789062
1547890528245609651,-4.15258789062
1547890528249556005,-4.15258789062
1547890528250902025,-4.15258789062
1547890528253731484,-4.15258789062
1547890528257776660,-4.15258789062
1547890528259076990,-4.15258789062
1547890528261766158,-4.15258789062
1547890528265875649,-4.15258789062
1547890528267158743,-4.15258789062
1547890528270812788,-4.15258789062
1547890528274712745,-4.15258789062
1547890528276294691,-4.15258789062
1547890528278687177,-4.15258789062
1547890528282693006,-4.15258789062
1547890528284867953,-4.15258789062
1547890528287027175,-4.15258789062
1547890528291259919,-4.15258789062
1547890528293144934,-4.15258789062
1547890528295223588,-4.15258789062
1547890528299098446,-4.15258789062
1547890528300941683,-4.15258789062
1547890528303512346,-4.15258789062
1547890528307448127,-4.15258789062
1547890528309417595,-4.15258789062
1547890528311621875,-4.15258789062
1547890528315669693,-4.15258789062
1547890528317608797,-4.15258789062
1547890528319668479,-4.15258789062
1547890528323894559,-4.15258789062
1547890528325625863,-4.15258789062
1547890528327812010,-4.15258789062
1547890528332010266,-4.15258789062
1547890528334226682,-4.15258789062
1547890528336197958,-4.15258789062
1547890528340198548,-4.15258789062
1547890528342068002,-4.15258789062
1547890528344580863,-4.15258789062
1547890528348411613,-4.15258789062
1547890528350282013,-4.15258789062
1547890528352576519,-4.15258789062
1547890528356673456,-4.15258789062
1547890528358409982,-4.15258789062
1547890528360721063,-4.15258789062
1547890528364757238,-4.15258789062
1547890528366829722,-4.15258789062
1547890528368708211,-4.15258789062
1547890528372777730,-4.15258789062
1547890528374514532,-4.15258789062
1547890528377096468,-4.15258789062
1547890528381048318,-4.15258789062
1547890528382918396,-4.15258789062
1547890528385347407,-4.15258789062
1547890528389196638,-4.15258789062
1547890528391083628,-4.15258789062
1547890528393667380,-4.15258789062
1547890528397577104,-4.15258789062
1547890528399891134,-4.15258789062
1547890528401721702,-4.15258789062
1547890528405701237,-4.15258789062
1547890528407646830,-4.15258789062
1547890528410110832,-4.15258789062
1547890528414045334,-4.15258789062
1547890528415967057,-4.15258789062
1547890528418138224,-4.15258789062
